# mission day, lat, long, alt, (pressure?), topocentric ra, dec
0.100, -78.6884, 167.276, 36.9521, 3.924, 278.79044, -23.19055
0.100, -78.6885, 167.273, 36.9382, 3.897, 278.79050, -23.19054
0.101, -78.6885, 167.260, 36.8653, 3.951, 278.79082, -23.19051
0.101, -78.6886, 167.248, 36.8063, 3.961, 278.79121, -23.19048
0.101, -78.6886, 167.245, 36.8044, 3.951, 278.79140, -23.19047
0.101, -78.6886, 167.242, 36.8027, 3.973, 278.79157, -23.19046
0.102, -78.6887, 167.236, 36.7985, 3.966, 278.79198, -23.19043
0.102, -78.6887, 167.231, 36.8107, 3.958, 278.79236, -23.19041
0.102, -78.6887, 167.227, 36.8350, 3.932, 278.79274, -23.19039
0.102, -78.6887, 167.226, 36.8407, 3.932, 278.79283, -23.19038
0.103, -78.6887, 167.223, 36.8600, 3.900, 278.79313, -23.19036
0.103, -78.6887, 167.213, 36.9020, 3.873, 278.79378, -23.19032
0.103, -78.6887, 167.208, 36.9091, 3.868, 278.79389, -23.19031
0.104, -78.6886, 167.190, 36.9338, 3.893, 278.79427, -23.19027
0.104, -78.6886, 167.179, 36.9174, 3.922, 278.79461, -23.19024
0.104, -78.6886, 167.177, 36.9101, 3.907, 278.79467, -23.19024
0.104, -78.6886, 167.170, 36.8628, 3.949, 278.79503, -23.19021
0.105, -78.6886, 167.162, 36.8348, 3.971, 278.79540, -23.19019
0.105, -78.6886, 167.160, 36.8310, 3.961, 278.79550, -23.19018
0.105, -78.6886, 167.154, 36.8202, 3.983, 278.79579, -23.19016
0.105, -78.6886, 167.146, 36.8399, 3.985, 278.79620, -23.19013
0.106, -78.6886, 167.139, 36.8660, 3.976, 278.79652, -23.19011
0.106, -78.6885, 167.131, 36.9214, 3.954, 278.79692, -23.19008
0.106, -78.6885, 167.129, 36.9380, 3.966, 278.79703, -23.19007
0.106, -78.6885, 167.124, 36.9799, 3.924, 278.79730, -23.19006
0.107, -78.6885, 167.116, 36.9975, 3.895, 278.79768, -23.19003
0.107, -78.6885, 167.111, 37.0037, 3.910, 278.79792, -23.19001
0.107, -78.6884, 167.107, 37.0078, 3.878, 278.79807, -23.19000
0.107, -78.6884, 167.100, 36.9608, 3.875, 278.79843, -23.18997
0.108, -78.6884, 167.097, 36.9355, 3.875, 278.79861, -23.18996
0.108, -78.6884, 167.092, 36.9030, 3.890, 278.79884, -23.18995
0.108, -78.6885, 167.081, 36.8581, 3.912, 278.79944, -23.18991
0.109, -78.6886, 167.078, 36.8461, 3.934, 278.79960, -23.18989
0.109, -78.6886, 167.071, 36.8206, 3.944, 278.79994, -23.18987
0.109, -78.6887, 167.064, 36.8017, 3.946, 278.80034, -23.18984
0.110, -78.6889, 167.056, 36.8317, 3.951, 278.80072, -23.18982
0.110, -78.6891, 167.049, 36.8680, 3.946, 278.80110, -23.18979
0.110, -78.6891, 167.046, 36.8860, 3.946, 278.80122, -23.18978
0.111, -78.6897, 167.028, 36.9942, 3.905, 278.80217, -23.18972
0.111, -78.6900, 167.020, 37.0086, 3.888, 278.80258, -23.18969
0.112, -78.6906, 167.003, 36.9365, 3.888, 278.80339, -23.18964
0.112, -78.6909, 166.995, 36.8921, 3.897, 278.80374, -23.18961
0.113, -78.6914, 166.986, 36.8920, 3.907, 278.80430, -23.18958
0.113, -78.6918, 166.977, 36.8918, 3.929, 278.80480, -23.18954
0.114, -78.6922, 166.971, 36.8916, 3.929, 278.80518, -23.18952
0.114, -78.6922, 166.970, 36.8916, 3.927, 278.80523, -23.18952
0.114, -78.6932, 166.955, 36.9308, 3.912, 278.80604, -23.18946
0.114, -78.6933, 166.955, 36.9332, 3.922, 278.80607, -23.18946
0.115, -78.6937, 166.948, 36.9568, 3.902, 278.80641, -23.18944
0.115, -78.6941, 166.942, 36.9765, 3.902, 278.80670, -23.18942
0.115, -78.6942, 166.941, 36.9812, 3.895, 278.80676, -23.18941
0.115, -78.6948, 166.932, 36.9849, 3.895, 278.80718, -23.18939
0.116, -78.6954, 166.924, 36.9680, 3.897, 278.80756, -23.18936
0.116, -78.6955, 166.924, 36.9669, 3.895, 278.80758, -23.18936
0.116, -78.6960, 166.917, 36.9518, 3.902, 278.80792, -23.18934
0.117, -78.6966, 166.909, 36.9348, 3.912, 278.80831, -23.18931
0.117, -78.6971, 166.901, 36.9229, 3.915, 278.80869, -23.18929
0.117, -78.6977, 166.894, 36.9133, 3.917, 278.80907, -23.18926
0.117, -78.6979, 166.890, 36.9124, 3.917, 278.80923, -23.18925
0.118, -78.6983, 166.886, 36.9183, 3.915, 278.80944, -23.18924
0.118, -78.6988, 166.879, 36.9289, 3.905, 278.80982, -23.18921
0.118, -78.6993, 166.872, 36.9459, 3.897, 278.81021, -23.18919
0.118, -78.6995, 166.869, 36.9536, 3.905, 278.81038, -23.18918
0.119, -78.6997, 166.866, 36.9624, 3.895, 278.81058, -23.18916
0.119, -78.7006, 166.853, 36.9754, 3.893, 278.81127, -23.18912
0.119, -78.7006, 166.852, 36.9761, 3.895, 278.81133, -23.18911
0.120, -78.7011, 166.845, 36.9706, 3.900, 278.81169, -23.18909
0.120, -78.7013, 166.842, 36.9662, 3.900, 278.81185, -23.18908
0.120, -78.7016, 166.837, 36.9592, 3.907, 278.81210, -23.18906
0.120, -78.7021, 166.830, 36.9493, 3.912, 278.81247, -23.18904
0.121, -78.7024, 166.824, 36.9424, 3.912, 278.81273, -23.18902
0.121, -78.7025, 166.822, 36.9394, 3.915, 278.81285, -23.18901
0.121, -78.7030, 166.814, 36.9415, 3.915, 278.81325, -23.18899
0.121, -78.7035, 166.807, 36.9454, 3.912, 278.81362, -23.18896
0.122, -78.7039, 166.800, 36.9540, 3.907, 278.81397, -23.18894
0.122, -78.7043, 166.792, 36.9635, 3.902, 278.81435, -23.18891
0.122, -78.7048, 166.784, 36.9731, 3.905, 278.81474, -23.18889
0.123, -78.7052, 166.776, 36.9807, 3.902, 278.81511, -23.18886
0.123, -78.7057, 166.769, 36.9726, 3.907, 278.81547, -23.18884
0.123, -78.7058, 166.767, 36.9703, 3.905, 278.81558, -23.18883
0.123, -78.7061, 166.760, 36.9625, 3.910, 278.81586, -23.18881
0.124, -78.7067, 166.751, 36.9472, 3.919, 278.81625, -23.18879
0.124, -78.7069, 166.747, 36.9436, 3.915, 278.81646, -23.18877
0.125, -78.7074, 166.739, 36.9426, 3.919, 278.81699, -23.18874
0.125, -78.7075, 166.737, 36.9424, 3.922, 278.81709, -23.18873
0.125, -78.7078, 166.733, 36.9448, 3.919, 278.81736, -23.18872
0.125, -78.7083, 166.725, 36.9525, 3.912, 278.81776, -23.18869
0.125, -78.7085, 166.722, 36.9558, 3.915, 278.81792, -23.18868
0.126, -78.7087, 166.718, 36.9588, 3.905, 278.81813, -23.18867
0.126, -78.7092, 166.711, 36.9634, 3.895, 278.81848, -23.18864
0.126, -78.7097, 166.703, 36.9648, 3.895, 278.81886, -23.18862
0.126, -78.7098, 166.702, 36.9643, 3.895, 278.81890, -23.18861
0.127, -78.7103, 166.695, 36.9607, 3.897, 278.81923, -23.18859
0.127, -78.7111, 166.684, 36.9500, 3.897, 278.81974, -23.18856
0.127, -78.7116, 166.678, 36.9427, 3.919, 278.82001, -23.18854
0.128, -78.7127, 166.665, 36.9303, 3.924, 278.82062, -23.18850
0.128, -78.7129, 166.662, 36.9280, 3.932, 278.82074, -23.18849
0.128, -78.7136, 166.654, 36.9288, 3.932, 278.82111, -23.18847
0.129, -78.7143, 166.647, 36.9337, 3.932, 278.82145, -23.18845
0.129, -78.7144, 166.646, 36.9344, 3.924, 278.82149, -23.18844
0.129, -78.7155, 166.633, 36.9554, 3.912, 278.82207, -23.18841
0.129, -78.7159, 166.629, 36.9632, 3.897, 278.82225, -23.18839
0.130, -78.7165, 166.620, 36.9720, 3.888, 278.82263, -23.18837
0.130, -78.7171, 166.613, 36.9765, 3.885, 278.82295, -23.18835
0.130, -78.7172, 166.612, 36.9773, 3.885, 278.82300, -23.18834
0.130, -78.7177, 166.603, 36.9661, 3.897, 278.82336, -23.18832
0.131, -78.7184, 166.593, 36.9453, 3.910, 278.82381, -23.18829
0.131, -78.7184, 166.593, 36.9444, 3.900, 278.82383, -23.18829
0.131, -78.7188, 166.586, 36.9310, 3.927, 278.82412, -23.18827
0.131, -78.7194, 166.577, 36.9134, 3.941, 278.82449, -23.18824
0.132, -78.7196, 166.574, 36.9124, 3.934, 278.82465, -23.18823
0.132, -78.7199, 166.570, 36.9128, 3.951, 278.82485, -23.18822
0.132, -78.7204, 166.561, 36.9137, 3.949, 278.82524, -23.18819
0.133, -78.7209, 166.553, 36.9342, 3.946, 278.82562, -23.18817
0.133, -78.7214, 166.545, 36.9570, 3.934, 278.82600, -23.18814
0.133, -78.7219, 166.537, 36.9767, 3.934, 278.82634, -23.18812
0.133, -78.7219, 166.536, 36.9779, 3.922, 278.82636, -23.18812
0.134, -78.7224, 166.528, 36.9988, 3.910, 278.82672, -23.18809
0.134, -78.7229, 166.518, 36.9887, 3.907, 278.82711, -23.18807
0.134, -78.7231, 166.516, 36.9856, 3.910, 278.82722, -23.18806
0.134, -78.7234, 166.510, 36.9764, 3.907, 278.82747, -23.18804
0.135, -78.7238, 166.502, 36.9442, 3.907, 278.82784, -23.18802
0.135, -78.7238, 166.501, 36.9424, 3.912, 278.82786, -23.18802
0.135, -78.7242, 166.493, 36.9128, 3.922, 278.82821, -23.18799
0.135, -78.7247, 166.484, 36.8880, 3.924, 278.82861, -23.18797
0.135, -78.7248, 166.482, 36.8810, 3.924, 278.82872, -23.18796
0.136, -78.7251, 166.477, 36.8762, 3.929, 278.82900, -23.18794
0.136, -78.7255, 166.470, 36.8790, 3.929, 278.82937, -23.18792
0.136, -78.7257, 166.466, 36.8807, 3.929, 278.82960, -23.18790
0.136, -78.7259, 166.464, 36.8872, 3.922, 278.82974, -23.18790
0.137, -78.7263, 166.457, 36.9075, 3.917, 278.83012, -23.18787
0.137, -78.7264, 166.455, 36.9132, 3.917, 278.83023, -23.18786
0.137, -78.7267, 166.450, 36.9268, 3.907, 278.83049, -23.18785
0.138, -78.7274, 166.440, 36.9551, 3.907, 278.83105, -23.18781
0.138, -78.7282, 166.428, 36.9539, 3.917, 278.83163, -23.18777
0.138, -78.7286, 166.421, 36.9444, 3.917, 278.83198, -23.18775
0.138, -78.7287, 166.421, 36.9431, 3.927, 278.83201, -23.18775
0.139, -78.7291, 166.415, 36.9297, 3.934, 278.83232, -23.18773
0.139, -78.7297, 166.407, 36.9178, 3.941, 278.83272, -23.18771
0.139, -78.7298, 166.404, 36.9157, 3.934, 278.83286, -23.18770
0.139, -78.7302, 166.400, 36.9122, 3.937, 278.83310, -23.18768
0.140, -78.7307, 166.392, 36.9160, 3.934, 278.83348, -23.18766
0.140, -78.7307, 166.392, 36.9164, 3.937, 278.83349, -23.18766
0.140, -78.7311, 166.385, 36.9287, 3.932, 278.83384, -23.18763
0.140, -78.7316, 166.378, 36.9405, 3.927, 278.83423, -23.18761
0.141, -78.7320, 166.370, 36.9504, 3.924, 278.83462, -23.18758
0.141, -78.7321, 166.370, 36.9507, 3.924, 278.83463, -23.18758
0.141, -78.7325, 166.363, 36.9497, 3.922, 278.83499, -23.18756
0.142, -78.7329, 166.357, 36.9434, 3.924, 278.83534, -23.18754
0.142, -78.7331, 166.353, 36.9399, 3.919, 278.83551, -23.18753
0.142, -78.7333, 166.349, 36.9314, 3.924, 278.83573, -23.18751
0.142, -78.7337, 166.343, 36.9175, 3.924, 278.83608, -23.18749
0.143, -78.7341, 166.336, 36.9085, 3.927, 278.83639, -23.18747
0.143, -78.7342, 166.335, 36.9069, 3.924, 278.83647, -23.18747
0.143, -78.7346, 166.328, 36.9002, 3.922, 278.83683, -23.18744
0.143, -78.7348, 166.324, 36.8986, 3.924, 278.83701, -23.18743
0.143, -78.7349, 166.322, 36.9002, 3.919, 278.83721, -23.18742
0.144, -78.7351, 166.318, 36.9034, 3.915, 278.83762, -23.18740
0.144, -78.7353, 166.313, 36.9064, 3.912, 278.83800, -23.18737
0.144, -78.7354, 166.312, 36.9078, 3.915, 278.83817, -23.18736
0.144, -78.7355, 166.309, 36.9094, 3.912, 278.83837, -23.18735
0.145, -78.7358, 166.305, 36.9124, 3.915, 278.83876, -23.18733
0.145, -78.7358, 166.305, 36.9127, 3.912, 278.83879, -23.18733
0.145, -78.7367, 166.288, 36.9189, 3.917, 278.83910, -23.18730
0.145, -78.7377, 166.271, 36.9207, 3.917, 278.83958, -23.18727
0.146, -78.7384, 166.261, 36.9194, 3.924, 278.84013, -23.18723
0.146, -78.7385, 166.260, 36.9194, 3.927, 278.84021, -23.18723
0.146, -78.7389, 166.254, 36.9194, 3.924, 278.84049, -23.18721
0.147, -78.7394, 166.246, 36.9243, 3.922, 278.84090, -23.18718
0.147, -78.7397, 166.242, 36.9275, 3.924, 278.84108, -23.18717
0.147, -78.7400, 166.236, 36.9320, 3.919, 278.84134, -23.18716
0.147, -78.7405, 166.230, 36.9389, 3.917, 278.84169, -23.18713
0.148, -78.7408, 166.224, 36.9443, 3.917, 278.84196, -23.18712
0.148, -78.7409, 166.222, 36.9455, 3.919, 278.84210, -23.18711
0.148, -78.7414, 166.214, 36.9422, 3.919, 278.84245, -23.18709
0.148, -78.7417, 166.207, 36.9391, 3.919, 278.84278, -23.18706
0.148, -78.7418, 166.206, 36.9386, 3.924, 278.84283, -23.18706
0.149, -78.7422, 166.199, 36.9353, 3.927, 278.84319, -23.18704
0.149, -78.7426, 166.191, 36.9313, 3.927, 278.84356, -23.18701
0.149, -78.7427, 166.189, 36.9299, 3.927, 278.84366, -23.18701
0.150, -78.7430, 166.183, 36.9259, 3.929, 278.84393, -23.18699
0.150, -78.7434, 166.175, 36.9229, 3.927, 278.84432, -23.18697
0.150, -78.7437, 166.171, 36.9239, 3.927, 278.84453, -23.18695
0.150, -78.7438, 166.168, 36.9247, 3.924, 278.84470, -23.18694
0.151, -78.7442, 166.160, 36.9280, 3.924, 278.84505, -23.18692
0.151, -78.7443, 166.158, 36.9296, 3.924, 278.84516, -23.18691
0.151, -78.7446, 166.152, 36.9336, 3.922, 278.84542, -23.18690
0.151, -78.7450, 166.144, 36.9364, 3.922, 278.84580, -23.18687
0.151, -78.7453, 166.139, 36.9359, 3.922, 278.84603, -23.18686
0.152, -78.7454, 166.136, 36.9356, 3.924, 278.84616, -23.18685
0.152, -78.7459, 166.128, 36.9318, 3.929, 278.84653, -23.18683
0.152, -78.7463, 166.120, 36.9253, 3.927, 278.84690, -23.18680
0.153, -78.7468, 166.112, 36.9209, 3.939, 278.84729, -23.18678
0.153, -78.7470, 166.108, 36.9195, 3.939, 278.84747, -23.18677
0.153, -78.7473, 166.104, 36.9180, 3.941, 278.84766, -23.18675
0.153, -78.7477, 166.097, 36.9182, 3.944, 278.84802, -23.18673
0.154, -78.7481, 166.089, 36.9197, 3.946, 278.84839, -23.18671
0.154, -78.7484, 166.085, 36.9208, 3.944, 278.84859, -23.18670
0.154, -78.7487, 166.081, 36.9223, 3.946, 278.84879, -23.18668
0.154, -78.7492, 166.073, 36.9252, 3.951, 278.84917, -23.18666
0.154, -78.7492, 166.072, 36.9254, 3.949, 278.84920, -23.18666
0.155, -78.7497, 166.065, 36.9230, 3.949, 278.84953, -23.18664
0.155, -78.7502, 166.058, 36.9193, 3.944, 278.84989, -23.18662
0.155, -78.7505, 166.054, 36.9174, 3.944, 278.85007, -23.18660
0.155, -78.7508, 166.049, 36.9152, 3.941, 278.85027, -23.18659
