# mission day, lat, long, alt, (pressure?), horizon alts, azimuth
0.100, -78.6884, 167.276, 36.9521, 3.924, 33.53596, 334.73375
0.100, -78.6885, 167.273, 36.9382, 3.897, 33.53449, 334.71572
0.101, -78.6885, 167.260, 36.8653, 3.951, 33.52687, 334.61621
0.101, -78.6886, 167.248, 36.8063, 3.961, 33.51677, 334.48600
0.101, -78.6886, 167.245, 36.8044, 3.951, 33.51187, 334.42254
0.101, -78.6886, 167.242, 36.8027, 3.973, 33.50745, 334.36538
0.102, -78.6887, 167.236, 36.7985, 3.966, 33.49647, 334.22509
0.102, -78.6887, 167.231, 36.8107, 3.958, 33.48612, 334.09236
0.102, -78.6887, 167.227, 36.8350, 3.932, 33.47584, 333.96133
0.102, -78.6887, 167.226, 36.8407, 3.932, 33.47345, 333.93084
0.103, -78.6887, 167.223, 36.8600, 3.900, 33.46527, 333.82716
0.103, -78.6887, 167.213, 36.9020, 3.873, 33.44758, 333.60409
0.103, -78.6887, 167.208, 36.9091, 3.868, 33.44481, 333.56931
0.104, -78.6886, 167.190, 36.9338, 3.893, 33.43541, 333.45052
0.104, -78.6886, 167.179, 36.9174, 3.922, 33.42641, 333.33831
0.104, -78.6886, 167.177, 36.9101, 3.907, 33.42497, 333.32039
0.104, -78.6886, 167.170, 36.8628, 3.949, 33.41512, 333.19829
0.105, -78.6886, 167.162, 36.8348, 3.971, 33.40491, 333.07218
0.105, -78.6886, 167.160, 36.8310, 3.961, 33.40218, 333.03849
0.105, -78.6886, 167.154, 36.8202, 3.983, 33.39433, 332.94213
0.105, -78.6886, 167.146, 36.8399, 3.985, 33.38306, 332.80425
0.106, -78.6886, 167.139, 36.8660, 3.976, 33.37415, 332.69562
0.106, -78.6885, 167.131, 36.9214, 3.954, 33.36293, 332.55852
0.106, -78.6885, 167.129, 36.9380, 3.966, 33.35996, 332.52249
0.106, -78.6885, 167.124, 36.9799, 3.924, 33.35241, 332.43143
0.107, -78.6885, 167.116, 36.9975, 3.895, 33.34160, 332.30149
0.107, -78.6885, 167.111, 37.0037, 3.910, 33.33508, 332.22346
0.107, -78.6884, 167.107, 37.0078, 3.878, 33.33086, 332.17188
0.107, -78.6884, 167.100, 36.9608, 3.875, 33.32056, 332.04915
0.108, -78.6884, 167.097, 36.9355, 3.875, 33.31553, 331.98943
0.108, -78.6884, 167.092, 36.9030, 3.890, 33.30898, 331.91181
0.108, -78.6885, 167.081, 36.8581, 3.912, 33.29158, 331.70773
0.109, -78.6886, 167.078, 36.8461, 3.934, 33.28684, 331.65317
0.109, -78.6886, 167.071, 36.8206, 3.944, 33.27698, 331.53763
0.109, -78.6887, 167.064, 36.8017, 3.946, 33.26533, 331.40285
0.110, -78.6889, 167.056, 36.8317, 3.951, 33.25405, 331.27396
0.110, -78.6891, 167.049, 36.8680, 3.946, 33.24282, 331.14634
0.110, -78.6891, 167.046, 36.8860, 3.946, 33.23918, 331.10438
0.111, -78.6897, 167.028, 36.9942, 3.905, 33.21076, 330.78486
0.111, -78.6900, 167.020, 37.0086, 3.888, 33.19814, 330.64429
0.112, -78.6906, 167.003, 36.9365, 3.888, 33.17352, 330.37221
0.112, -78.6909, 166.995, 36.8921, 3.897, 33.16270, 330.25374
0.113, -78.6914, 166.986, 36.8920, 3.907, 33.14533, 330.06457
0.113, -78.6918, 166.977, 36.8918, 3.929, 33.12950, 329.89267
0.114, -78.6922, 166.971, 36.8916, 3.929, 33.11743, 329.76309
0.114, -78.6922, 166.970, 36.8916, 3.927, 33.11610, 329.74850
0.114, -78.6932, 166.955, 36.9308, 3.912, 33.09029, 329.47469
0.114, -78.6933, 166.955, 36.9332, 3.922, 33.08909, 329.46256
0.115, -78.6937, 166.948, 36.9568, 3.902, 33.07820, 329.34751
0.115, -78.6941, 166.942, 36.9765, 3.902, 33.06901, 329.25137
