# mission day, lat, long, alt, (pressure?), horizon alts (deg), azimuth (deg)
0.100, -78.6884, 167.276, 36.9521, 3.924, 33.54971, 334.69973
0.100, -78.6885, 167.273, 36.9382, 3.897, 33.54824, 334.68170
0.101, -78.6885, 167.260, 36.8653, 3.951, 33.54061, 334.58217
0.101, -78.6886, 167.248, 36.8063, 3.961, 33.53050, 334.45196
0.101, -78.6886, 167.245, 36.8044, 3.951, 33.52559, 334.38849
0.101, -78.6886, 167.242, 36.8027, 3.973, 33.52117, 334.33137
0.102, -78.6887, 167.236, 36.7985, 3.966, 33.51018, 334.19105
0.102, -78.6887, 167.231, 36.8107, 3.958, 33.49981, 334.05832
0.102, -78.6887, 167.227, 36.8350, 3.932, 33.48953, 333.92729
0.102, -78.6887, 167.226, 36.8407, 3.932, 33.48713, 333.89680
0.103, -78.6887, 167.223, 36.8600, 3.900, 33.47894, 333.79312
0.103, -78.6887, 167.213, 36.9020, 3.873, 33.46123, 333.57005
0.103, -78.6887, 167.208, 36.9091, 3.868, 33.45846, 333.53527
0.104, -78.6886, 167.190, 36.9338, 3.893, 33.44905, 333.41648
0.104, -78.6886, 167.179, 36.9174, 3.922, 33.44004, 333.30427
0.104, -78.6886, 167.177, 36.9101, 3.907, 33.43859, 333.28635
0.104, -78.6886, 167.170, 36.8628, 3.949, 33.42874, 333.16422
0.105, -78.6886, 167.162, 36.8348, 3.971, 33.41851, 333.03811
0.105, -78.6886, 167.160, 36.8310, 3.961, 33.41578, 333.00442
0.105, -78.6886, 167.154, 36.8202, 3.983, 33.40792, 332.90809
0.105, -78.6886, 167.146, 36.8399, 3.985, 33.39664, 332.77018
0.106, -78.6886, 167.139, 36.8660, 3.976, 33.38771, 332.66155
0.106, -78.6885, 167.131, 36.9214, 3.954, 33.37649, 332.52445
0.106, -78.6885, 167.129, 36.9380, 3.966, 33.37351, 332.48842
0.106, -78.6885, 167.124, 36.9799, 3.924, 33.36595, 332.39736
0.107, -78.6885, 167.116, 36.9975, 3.895, 33.35513, 332.26742
0.107, -78.6885, 167.111, 37.0037, 3.910, 33.34861, 332.18939
0.107, -78.6884, 167.107, 37.0078, 3.878, 33.34438, 332.13778
0.107, -78.6884, 167.100, 36.9608, 3.875, 33.33407, 332.01509
0.108, -78.6884, 167.097, 36.9355, 3.875, 33.32904, 331.95534
0.108, -78.6884, 167.092, 36.9030, 3.890, 33.32248, 331.87772
0.108, -78.6885, 167.081, 36.8581, 3.912, 33.30506, 331.67363
0.109, -78.6886, 167.078, 36.8461, 3.934, 33.30032, 331.61910
0.109, -78.6886, 167.071, 36.8206, 3.944, 33.29044, 331.50353
0.109, -78.6887, 167.064, 36.8017, 3.946, 33.27879, 331.36876
0.110, -78.6889, 167.056, 36.8317, 3.951, 33.26749, 331.23986
0.110, -78.6891, 167.049, 36.8680, 3.946, 33.25626, 331.11224
0.110, -78.6891, 167.046, 36.8860, 3.946, 33.25262, 331.07028
0.111, -78.6897, 167.028, 36.9942, 3.905, 33.22416, 330.75076
0.111, -78.6900, 167.020, 37.0086, 3.888, 33.21153, 330.61020
0.112, -78.6906, 167.003, 36.9365, 3.888, 33.18689, 330.33811
0.112, -78.6909, 166.995, 36.8921, 3.897, 33.17606, 330.21962
0.113, -78.6914, 166.986, 36.8920, 3.907, 33.15866, 330.03045
0.113, -78.6918, 166.977, 36.8918, 3.929, 33.14282, 329.85855
0.114, -78.6922, 166.971, 36.8916, 3.929, 33.13074, 329.72899
0.114, -78.6922, 166.970, 36.8916, 3.927, 33.12941, 329.71438
0.114, -78.6932, 166.955, 36.9308, 3.912, 33.10358, 329.44057
0.114, -78.6933, 166.955, 36.9332, 3.922, 33.10238, 329.42844
0.115, -78.6937, 166.948, 36.9568, 3.902, 33.09147, 329.31339
0.115, -78.6941, 166.942, 36.9765, 3.902, 33.08227, 329.21725
0.115, -78.6942, 166.941, 36.9812, 3.895, 33.08005, 329.19405
0.115, -78.6948, 166.932, 36.9849, 3.895, 33.06674, 329.05578
0.116, -78.6954, 166.924, 36.9680, 3.897, 33.05423, 328.92664
0.116, -78.6955, 166.924, 36.9669, 3.895, 33.05334, 328.91806
0.116, -78.6960, 166.917, 36.9518, 3.902, 33.04220, 328.80312
0.117, -78.6966, 166.909, 36.9348, 3.912, 33.02957, 328.67362
0.117, -78.6971, 166.901, 36.9229, 3.915, 33.01712, 328.54570
0.117, -78.6977, 166.894, 36.9133, 3.917, 33.00434, 328.41558
0.117, -78.6979, 166.890, 36.9124, 3.917, 32.99899, 328.36083
0.118, -78.6983, 166.886, 36.9183, 3.915, 32.99195, 328.29009
0.118, -78.6988, 166.879, 36.9289, 3.905, 32.97946, 328.16310
0.118, -78.6993, 166.872, 36.9459, 3.897, 32.96637, 328.03027
0.118, -78.6995, 166.869, 36.9536, 3.905, 32.96064, 327.97213
0.119, -78.6997, 166.866, 36.9624, 3.895, 32.95408, 327.90536
0.119, -78.7006, 166.853, 36.9754, 3.893, 32.93064, 327.66964
0.119, -78.7006, 166.852, 36.9761, 3.895, 32.92874, 327.64997
0.120, -78.7011, 166.845, 36.9706, 3.900, 32.91642, 327.52702
0.120, -78.7013, 166.842, 36.9662, 3.900, 32.91119, 327.47479
0.120, -78.7016, 166.837, 36.9592, 3.907, 32.90280, 327.39110
0.120, -78.7021, 166.830, 36.9493, 3.912, 32.89010, 327.26510
0.121, -78.7024, 166.824, 36.9424, 3.912, 32.88120, 327.17666
0.121, -78.7025, 166.822, 36.9394, 3.915, 32.87719, 327.13661
0.121, -78.7030, 166.814, 36.9415, 3.915, 32.86359, 327.00236
0.121, -78.7035, 166.807, 36.9454, 3.912, 32.85087, 326.87758
0.122, -78.7039, 166.800, 36.9540, 3.907, 32.83878, 326.75865
0.122, -78.7043, 166.792, 36.9635, 3.902, 32.82567, 326.62989
0.122, -78.7048, 166.784, 36.9731, 3.905, 32.81209, 326.49769
0.123, -78.7052, 166.776, 36.9807, 3.902, 32.79928, 326.37289
0.123, -78.7057, 166.769, 36.9726, 3.907, 32.78656, 326.25019
0.123, -78.7058, 166.767, 36.9703, 3.905, 32.78301, 326.21565
